Reward: -3.5693, SE: 300.5061, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.3431
Reward: -5.0000, SE: 123.9032, QoE_volte: 1.0000, QoE_embb: 0.2008, QoE_urllc: 0.9680
Reward: -5.0000, SE: 167.0031, QoE_volte: 1.0000, QoE_embb: 0.9494, QoE_urllc: 0.0000
Reward: -6.7473, SE: 410.1857, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0253
Reward: -7.0000, SE: 210.7903, QoE_volte: 1.0000, QoE_embb: 0.9980, QoE_urllc: 0.0000
Reward: -7.0000, SE: 185.6396, QoE_volte: 1.0000, QoE_embb: 0.9922, QoE_urllc: 0.0000
Reward: 4.0000, SE: 202.3936, QoE_volte: 1.0000, QoE_embb: 0.9955, QoE_urllc: 0.9721
Reward: -5.0000, SE: 159.7239, QoE_volte: 1.0000, QoE_embb: 0.9396, QoE_urllc: 0.0081
Reward: 2.3600, SE: 321.6044, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9360
Reward: 1.3600, SE: 367.6186, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.8360
Reward: -6.9338, SE: 345.9617, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0066
Reward: -7.0000, SE: 401.1848, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -7.0000, SE: 362.1037, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 4.0000, SE: 227.0063, QoE_volte: 1.0000, QoE_embb: 0.9973, QoE_urllc: 0.9967
Reward: 4.0000, SE: 260.7466, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.9538
Reward: 0.5241, SE: 270.4867, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.7524
Reward: 1.0495, SE: 359.7007, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.8050
Reward: -1.4444, SE: 204.3534, QoE_volte: 1.0000, QoE_embb: 0.9911, QoE_urllc: 0.5556
Reward: 2.4517, SE: 380.9524, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9452
Reward: 4.0000, SE: 254.8043, QoE_volte: 1.0000, QoE_embb: 0.9990, QoE_urllc: 0.9589
Reward: -5.0000, SE: 141.0529, QoE_volte: 1.0000, QoE_embb: 0.1004, QoE_urllc: 0.9770
Reward: -0.3125, SE: 373.7740, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.6687
Reward: -7.0000, SE: 501.8980, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -3.0542, SE: 387.3137, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.3946
Reward: 2.0110, SE: 188.5247, QoE_volte: 1.0000, QoE_embb: 0.9805, QoE_urllc: 0.9011
Reward: 4.0000, SE: 243.7400, QoE_volte: 1.0000, QoE_embb: 0.9986, QoE_urllc: 0.9938
Reward: -0.6519, SE: 280.9761, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.6348
Reward: -5.0000, SE: 162.8249, QoE_volte: 1.0000, QoE_embb: 0.8560, QoE_urllc: 0.9722
Reward: -5.0000, SE: 171.2569, QoE_volte: 1.0000, QoE_embb: 0.7366, QoE_urllc: 0.9290
Reward: 0.1028, SE: 411.7323, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.7103
Reward: 0.3591, SE: 386.3374, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.7359
Reward: -5.8430, SE: 444.8784, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.1157
Reward: 0.2356, SE: 305.3808, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.7236
Reward: -4.4926, SE: 383.1711, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.2507
Reward: -6.0296, SE: 289.0748, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0970
Reward: -7.0000, SE: 453.2807, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -7.0000, SE: 171.2711, QoE_volte: 1.0000, QoE_embb: 0.9996, QoE_urllc: 0.0000
Reward: -1.6131, SE: 234.5946, QoE_volte: 1.0000, QoE_embb: 0.9978, QoE_urllc: 0.5387
Reward: 4.0000, SE: 215.3645, QoE_volte: 1.0000, QoE_embb: 0.9907, QoE_urllc: 0.9605
Reward: 2.4659, SE: 273.6879, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.9466
Reward: 4.0000, SE: 235.0336, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.9894
Reward: -7.0000, SE: 317.1038, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -2.5346, SE: 278.1226, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.4465
Reward: 0.4921, SE: 228.2355, QoE_volte: 1.0000, QoE_embb: 0.9975, QoE_urllc: 0.7492
Reward: 4.0000, SE: 199.1657, QoE_volte: 1.0000, QoE_embb: 0.9902, QoE_urllc: 1.0000
Reward: -7.0000, SE: 230.3803, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -5.0000, SE: 157.3819, QoE_volte: 1.0000, QoE_embb: 0.7540, QoE_urllc: 0.9936
